roi_id,vel_min,vel_max,vel_mean,vel_std,vel_se,vel_cv,vel_n_nan,vel_n_zero,vel_n_big,img_min,img_max,img_mean,img_std,path,file_name,parent_folder,grandparent_folder,rel_path,accepted,treatment,condition,date,_unique_row_id
1,0.1979990103418046,0.5243021921259338,0.3591859497871669,0.07099711590568684,0.0008403938362729773,0.19766117229183292,360,0,96,24,1662,264.81441666666666,217.44520000633744,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0012.tif,20251014_A98_0012,20251014,14d Saline,14d Saline/20251014/20251014_A98_0012.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0012.tif|1
2,0.1979990303516388,0.5243021845817566,0.3591859494752872,0.07099711670361544,0.0008403938457180691,0.19766117468495298,360,0,96,24,1662,264.81441666666666,217.44520000633744,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0012.tif,20251014_A98_0012,20251014,14d Saline,14d Saline/20251014/20251014_A98_0012.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0012.tif|2
1,0.068042783630579,0.4521842582492439,0.2617729832495091,0.07161461595609107,0.0008565704330648575,0.2735752752904663,507,0,139,0,3307,369.3009020833333,243.01610531681416,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0013.tif,20251014_A98_0013,20251014,14d Saline,14d Saline/20251014/20251014_A98_0013.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0013.tif|1
2,-0.9163752794265748,1.4657118320465088,0.2542757027374412,0.10545180236275632,0.0012231280912756743,0.41471442700777134,64,219,101,0,3307,369.3009020833333,243.01610531681416,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0013.tif,20251014_A98_0013,20251014,14d Saline,14d Saline/20251014/20251014_A98_0013.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0013.tif|2
1,2.1563540025846932,3.1415574907569828,2.815552547424311,0.14072803458216568,0.0025419405130199663,0.049982386125559886,4432,0,11,27,1215,308.9866822222222,126.45812556983752,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0014.tif,20251014_A98_0014,20251014,14d Saline,14d Saline/20251014/20251014_A98_0014.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0014.tif|1
2,-9143077.0,3.1415584087371826,-5383157.699786663,4498916.427660352,51959.40513184903,-0.8357392962570362,0,1,0,27,1215,308.9866822222222,126.45812556983752,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0014.tif,20251014_A98_0014,20251014,14d Saline,14d Saline/20251014/20251014_A98_0014.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0014.tif|2
1,0.2824493535993675,1.177350352626428,0.7217233638275223,0.13306507129839382,0.0015982134969851683,0.18437129510773848,565,0,290,27,1039,284.82909375,133.9547197493879,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0015.tif,20251014_A98_0015,20251014,14d Saline,14d Saline/20251014/20251014_A98_0015.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0015.tif|1
2,-2.674164056777954,2.7563841342926025,0.7099875851081018,0.25183646329888315,0.0029471191697249166,0.35470544637838824,195,175,108,27,1039,284.82909375,133.9547197493879,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0015.tif,20251014_A98_0015,20251014,14d Saline,14d Saline/20251014/20251014_A98_0015.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0015.tif|2
1,0.8149568014537057,1.5976999542918084,1.1987818616858927,0.1413271155096378,0.001663939096101686,0.1178922705010602,283,0,231,0,753,213.37704444444444,97.10818072342228,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0016.tif,20251014_A98_0016,20251014,14d Saline,14d Saline/20251014/20251014_A98_0016.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0016.tif|1
2,-3.0453732013702393,2.8923819065093994,1.2077302316034244,0.2148659841789384,0.002498272788698604,0.1779089225030617,100,23,135,0,753,213.37704444444444,97.10818072342228,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0016.tif,20251014_A98_0016,20251014,14d Saline,14d Saline/20251014/20251014_A98_0016.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0016.tif|2
1,-1.003370128254486,-0.0369476563402894,-0.4948619027475363,0.13975047421711267,0.0018804672259447202,-0.28240297634794725,1974,0,190,0,990,281.7228652173913,160.0233502275571,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0017.tif,20251014_A98_0017,20251014,14d Saline,14d Saline/20251014/20251014_A98_0017.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0017.tif|1
2,-2.7732245922088623,2.5306553840637207,-0.4220774839635619,0.29993956121985393,0.003627446048689097,-0.7106267749779986,660,1087,78,0,990,281.7228652173913,160.0233502275571,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0017.tif,20251014_A98_0017,20251014,14d Saline,14d Saline/20251014/20251014_A98_0017.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0017.tif|2
1,1.5736515927148549,2.9366210989713197,2.2867018686456078,0.31837453495765694,0.0037931308522250315,0.13922870284189132,452,0,41,0,998,362.42173541666665,125.96525565801203,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,20251015_A99_0002,20251015,14d Saline,14d Saline/20251015/20251015_A99_0002.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1
2,0.0,3.2549424171447754,2.2567092432303846,0.3616694600101964,0.004220033880216995,0.16026409299076638,152,12,26,0,998,362.42173541666665,125.96525565801203,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,20251015_A99_0002,20251015,14d Saline,14d Saline/20251015/20251015_A99_0002.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|2
1,0.8769663510088518,2.5233324091332796,1.7065305837347045,0.3755663354476477,0.005588067086363112,0.22007594767257502,2980,0,100,10,1193,372.53324791666665,143.66316333264663,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0003.tif,20251015_A99_0003,20251015,14d Saline,14d Saline/20251015/20251015_A99_0003.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0003.tif|1
2,-0.8669219017028809,3.0356922149658203,1.0912319051955464,0.8991480484614708,0.010419347655505016,0.8239752193648934,50,2736,6,10,1193,372.53324791666665,143.66316333264663,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0003.tif,20251015_A99_0003,20251015,14d Saline,14d Saline/20251015/20251015_A99_0003.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0003.tif|2
1,0.1935503673135344,1.753767462354073,0.9730666499527871,0.25309373966854354,0.0032171488974717275,0.26009907921602654,1308,0,355,35,1048,373.4011192982456,154.66769911304237,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0004.tif,20251015_A99_0004,20251015,14d Saline,14d Saline/20251015/20251015_A99_0004.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0004.tif|1
